,Age,NHLid,Position,GP,G,A,PTS,+/-,TOI/GP,IPP%,PTS/GP,Seasons
569,32,8470144,C,79,17,24,41,-19,17.15,69.5,0.5189873417721519,11
570,24,8476442,LW/RW,59,7,6,13,-12,14.83,72.2,0.22033898305084745,4
571,22,8476922,C,1,0,0,0,-1,11.73,0.0,0.0,1
572,30,8471702,D,78,5,34,39,20,22.18,47.6,0.5,10
573,23,8476474,RW,44,8,2,10,6,11.13,62.5,0.22727272727272727,3
574,20,8478031,D,10,0,0,0,-1,11.72,0.0,0.0,1
575,27,8475325,C,46,4,4,8,-3,10.85,72.7,0.17391304347826086,6
576,24,8475807,C,82,7,5,12,-12,12.72,63.2,0.14634146341463414,4
577,24,8477931,C,11,1,0,1,-1,10.12,50.0,0.09090909090909091,2
578,23,8476454,C,82,18,25,43,-10,17.67,71.7,0.524390243902439,6
579,21,8477498,D,44,5,6,11,0,17.02,37.9,0.25,3
580,22,8478906,D,66,2,5,7,7,13.22,21.9,0.10606060606060606,1
581,18,8479423,RW/LW,4,0,1,1,-2,12.33,100.0,0.25,1
582,20,8477939,C,81,22,39,61,-3,15.92,82.4,0.7530864197530864,2
583,27,8474679,C,76,12,36,48,0,17.42,70.6,0.631578947368421,6
584,22,8477070,C,1,0,0,0,0,6.13,0.0,0.0,2
585,23,8476303,D,3,0,0,0,1,16.02,0.0,0.0,1
586,22,8476982,C,3,1,0,1,-2,9.32,100.0,0.3333333333333333,1
587,30,8471811,C,11,0,1,1,-6,7.93,50.0,0.09090909090909091,6
588,25,8475158,C,72,20,35,55,-1,21.47,63.2,0.7638888888888888,8
589,35,8469665,D,52,2,7,9,-4,18.27,30.0,0.17307692307692307,11
590,24,8477851,D,2,0,0,0,-1,17.28,0.0,0.0,3
591,28,8473449,RW,65,19,26,45,-7,18.97,63.4,0.6923076923076923,10
592,24,8476467,D,41,5,2,7,-4,16.22,30.4,0.17073170731707318,5
593,30,8476162,D,11,0,1,1,2,13.7,16.7,0.09090909090909091,1
594,22,8477467,D,13,0,3,3,-1,13.48,33.3,0.23076923076923078,2
595,25,8475200,D,82,6,27,33,30,19.53,38.8,0.4024390243902439,5
596,36,8468498,D,79,0,14,14,32,17.78,23.0,0.17721518987341772,14
597,30,8471698,C,68,33,23,56,28,17.85,58.9,0.8235294117647058,9
598,34,8468505,C,53,3,4,7,-8,10.77,77.8,0.1320754716981132,1
599,23,8476443,D,66,3,9,12,2,17.97,30.0,0.18181818181818182,4
600,31,8471214,LW/RW,82,33,36,69,6,18.37,65.1,0.8414634146341463,12
601,25,8475175,LW,32,8,5,13,9,12.17,68.4,0.40625,7
602,28,8474157,LW,81,35,32,67,15,19.18,73.6,0.8271604938271605,9
603,24,8476419,C,82,12,21,33,13,16.12,71.7,0.4024390243902439,5
604,25,8476336,RW,14,2,2,4,2,8.92,100.0,0.2857142857142857,3
605,25,8476292,LW,75,17,35,52,8,19.12,62.7,0.6933333333333334,5
606,25,8475151,C,80,26,27,53,2,17.35,70.7,0.6625,7
607,25,8478550,C,82,31,43,74,18,19.47,71.2,0.9024390243902439,2
608,25,8475209,RW/LW,82,22,22,44,14,14.75,65.7,0.5365853658536586,5
609,23,8476975,C,58,4,6,10,-6,11.52,71.4,0.1724137931034483,4
610,23,8476892,D,81,4,31,35,7,21.2,46.1,0.43209876543209874,2
611,32,8471385,D,4,0,0,0,-1,11.0,0.0,0.0,1
612,33,8469707,RW,67,13,15,28,-18,14.55,70.0,0.417910447761194,1
613,32,8470610,LW,69,19,23,42,-3,17.43,64.6,0.6086956521739131,12
614,20,8477956,RW/LW,75,34,36,70,11,17.87,71.4,0.9333333333333333,3
615,26,8474688,D,36,1,8,9,-1,15.42,42.9,0.25,4
616,21,8477426,C,1,0,0,0,-2,16.48,0.0,0.0,2
617,32,8470794,C,81,29,39,68,11,19.13,71.6,0.8395061728395061,11
618,24,8476871,LW,80,24,20,44,5,16.32,61.1,0.55,4
619,23,8476285,C,10,1,1,2,-3,11.45,100.0,0.2,1
620,22,8476917,D,44,3,7,10,-5,16.83,37.0,0.22727272727272727,2
621,20,8477943,LW,57,14,7,21,-4,14.83,63.6,0.3684210526315789,1
622,28,8473618,C,65,13,32,45,-11,16.28,61.6,0.6923076923076923,8
623,28,8474102,LW/RW,82,18,28,46,-2,17.3,64.8,0.5609756097560976,10
624,31,8470621,RW,82,19,34,53,2,17.72,71.6,0.6463414634146342,12
625,22,8477488,D,82,2,18,20,23,21.2,24.7,0.24390243902439024,2
626,21,8477464,C,54,1,12,13,-13,10.9,56.5,0.24074074074074073,2
627,24,8475755,D,49,1,13,14,-1,18.15,40.0,0.2857142857142857,5
628,29,8473507,D,80,8,20,28,3,22.12,35.4,0.35,7
